timestamp, count, name, pci.bus_id, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
2018/12/25 17:30:17.303, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 78 %
2018/12/25 17:30:18.304, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 67 %, 53 %
2018/12/25 17:30:19.304, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 65 %, 51 %
2018/12/25 17:30:20.304, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 97 %, 66 %
2018/12/25 17:30:21.305, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 56 %
2018/12/25 17:30:22.305, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 61 %
2018/12/25 17:30:23.305, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 64 %
2018/12/25 17:30:24.305, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 70 %
2018/12/25 17:30:25.306, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 58 %
2018/12/25 17:30:26.306, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 70 %
2018/12/25 17:30:27.306, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 80 %, 64 %
2018/12/25 17:30:28.307, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 66 %, 54 %
2018/12/25 17:30:29.307, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 81 %, 56 %
2018/12/25 17:30:30.307, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 61 %
2018/12/25 17:30:31.308, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 63 %
2018/12/25 17:30:32.308, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 73 %
2018/12/25 17:30:33.308, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 74 %, 61 %
2018/12/25 17:30:34.309, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 64 %, 53 %
2018/12/25 17:30:35.309, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 78 %, 53 %
2018/12/25 17:30:36.309, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 63 %
2018/12/25 17:30:37.309, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 63 %
2018/12/25 17:30:38.310, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 73 %
2018/12/25 17:30:39.310, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 75 %, 62 %
2018/12/25 17:30:40.310, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 64 %, 53 %
2018/12/25 17:30:41.311, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 81 %, 55 %
2018/12/25 17:30:42.311, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 64 %
2018/12/25 17:30:43.311, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 74 %, 53 %
2018/12/25 17:30:44.312, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 64 %
2018/12/25 17:30:45.312, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 57 %
2018/12/25 17:30:46.312, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 67 %
2018/12/25 17:30:47.312, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 93 %, 72 %
2018/12/25 17:30:48.313, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 62 %, 51 %
2018/12/25 17:30:49.313, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 67 %, 49 %
2018/12/25 17:30:50.313, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 65 %
2018/12/25 17:30:51.314, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 58 %
2018/12/25 17:30:52.314, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 67 %
2018/12/25 17:30:53.314, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 95 %, 74 %
2018/12/25 17:30:54.315, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 63 %, 50 %
2018/12/25 17:30:55.315, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 64 %, 48 %
2018/12/25 17:30:56.315, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 68 %
2018/12/25 17:30:57.316, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 61 %
2018/12/25 17:30:58.316, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 61 %
2018/12/25 17:30:59.316, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 72 %
2018/12/25 17:31:00.316, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 69 %, 56 %
2018/12/25 17:31:01.317, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 69 %
2018/12/25 17:31:02.317, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 82 %, 65 %
2018/12/25 17:31:03.317, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 63 %, 52 %
2018/12/25 17:31:04.318, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 72 %, 52 %
2018/12/25 17:31:05.318, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 64 %
2018/12/25 17:31:06.318, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 57 %
2018/12/25 17:31:07.318, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 66 %, 50 %
2018/12/25 17:31:08.319, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 65 %
2018/12/25 17:31:09.319, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 58 %
2018/12/25 17:31:10.319, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 66 %
2018/12/25 17:31:11.320, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 78 %
2018/12/25 17:31:12.320, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 66 %, 52 %
2018/12/25 17:31:13.320, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 63 %, 50 %
2018/12/25 17:31:14.321, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 89 %, 62 %
2018/12/25 17:31:15.321, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 61 %
2018/12/25 17:31:16.321, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 63 %
2018/12/25 17:31:17.322, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 74 %
2018/12/25 17:31:18.322, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 69 %, 56 %
2018/12/25 17:31:19.322, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 67 %, 54 %
2018/12/25 17:31:20.323, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 82 %, 65 %
2018/12/25 17:31:21.323, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 66 %, 54 %
2018/12/25 17:31:22.323, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 73 %, 53 %
2018/12/25 17:31:23.324, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 63 %
2018/12/25 17:31:24.324, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 57 %
2018/12/25 17:31:25.324, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 68 %
2018/12/25 17:31:26.324, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 83 %, 65 %
